lemma,frequency,salience,phrase,sentence
metall,1153,9063.242,metallist ese,Peale kaardihoidjate valmistame veel puidust ja metallist esemeid .
metall,1153,9063.242,metallist ese,"Väga palju on kudumeid , tekke , vaipu , rahvarõivakomplekte , ehteid , nukke ja seinapilte , puust , nahast ja metallist esemeid ."
metall,1153,9063.242,metallist ese,"ETA andmetel märkas Halliku talu peremees põldu kultiveerides metallist eset , mis lähemal uurimisel osutus 82-millimeetrise kaliibriga miiniks ."
metall,1153,9063.242,metallist karkass,"Selle valmistamiseks müüakse metallist karkasse , mis täidetakse turba või kompostmullaga ."
metall,1153,9063.242,metallist karkass,"Jürgen sai bioproteesi , milles puudub võõrkeha , metallist karkass , ning tema pääseb antikoagulandi võtmisest ."
metall,1153,9063.242,metallist karkass,"Siis metallist karkassiga , mille vahel olid küünlad ja inglid ."
metall,1153,9063.242,metallist kett,"Seljas olid tal sinine teksajakk ja pruun džemper , jalas mustad teksased ja pruunid kingad ning kaelas valgest metallist kett väikese ristiga ."
metall,1153,9063.242,metallist kett,Mehe kaelas oli kollasest metallist kett ristiga ja tema esihammastel olid metallkroonid .
metall,1153,9063.242,metallist kett,"Parema käe randmel tumedast metallist kett , mille küljes 1 südame - ja 6 elevandikujulist ripatsit ."
metall,1153,9063.242,metallist toru,"Vanas alajaamas tekkis isolaatori purunemise tõttu lühis , metallist toru juhtis voolu lauta"
metall,1153,9063.242,metallist toru,Um .. selleks sobib täiesti random metallist toru .
metall,1153,9063.242,metallist toru,Sealt leiab eestimaiseid harjatud metallist roostevabu torusid kulpide ja muu köögikraami riputamiseks .
metall,1153,9063.242,metallist keerdtrepp,"Merle paigaldas maja õuele metallist keerdtrepi ja ehitas ümber ajaloolise vints-kapi , Krista aga paigaldas korteri remondi käigus pöönin-gule kolm katuseakent ."
metall,1153,9063.242,metallist keerdtrepp,Erits lasi maja õuele ehitada metallist keerdtrepi ja tegi ümber ajaloolise vintskapi .
metall,1153,9063.242,metallist keerdtrepp,Merle Erits lasi maja õuele ehitada metallist keerdtrepi ja tegi ümber ajaloolise vintskapi .
klaas,874,6464.116,klaasist sein,Vandaalid lõhkusid ootepaviljoni klaasist seinad ning nädal hiljem rüüstasid ka elektrijuhtmed ja sildi .
klaas,874,6464.116,klaasist sein,"Et klaasist sein ei kata vanni täies ulatuses , pääseb ruumis õhk liikuma ."
klaas,874,6464.116,klaasist sein,"Noh , sihukesed klaasist seintega ja puha , autusid paksult täis .."
klaas,874,6464.116,klaasist pudel,1970. aastal tuli Pepsi esimesena suurtest joogitootjatest turule kaheliitrise klaasist pudeliga .
klaas,874,6464.116,klaasist pudel,"Pikliku klaasist pudeli allosas on auk , kus sees õhkõrn paberileht – sealt leiad Kenzo sõnumi uueks sajandiks ."
klaas,874,6464.116,klaasist pudel,"Nüüd , Raeapteeki renoveerides , leidis töömees Hannes Schneider esimese korruse hoovipoolse seina krohvi alt kinni plommitud rohelisest klaasist pudelist selle üles ."
klaas,874,6464.116,klaasist vahesein,"Tema sõnul oli keskus ESS-i valve all , ent kuna turvafirma teadmata oli anduri ja akna vahele paigaldatud klaasist vahesein , ei lasknud see infrapunaseid kiiri läbi ja valvesüsteem ei hakanud tööle ."
klaas,874,6464.116,klaasist vahesein,Baarvagun on jagatud osalise klaasist vaheseinaga kaheks .
klaas,874,6464.116,klaasist vahesein,"Café Mmuah interjööris domineerib pigem must ( lauad ja baarilett ) ning kahte saali eraldav klaasist vahesein , aga ka tervet seina hõlmav Pariisi lõbustuspargi karussellipilt ."
klaas,874,6464.116,klaasist uks,"Suured klaasist uksed on küll pisut aukartust äratavad , aga samavõrd kütavad need üles siseneja uudishimu ."
klaas,874,6464.116,klaasist uks,"Tollikontrollijate käeulatuses , tumedast klaasist ukse taga on prill-lauaga savipott ."
klaas,874,6464.116,klaasist uks,Seks puhuks on narkokemps - ilma äravooluta plastmassist pott klaasist ukse taga .
klaas,874,6464.116,klaasist ese,"Vargusega tekitatud kahju ei osanud kaupluse omanik Sõnumilehele eile veel öelda , kuna aknal olnud kompositsioonid ja klaasist esemed on täielikult puru ."
klaas,874,6464.116,klaasist ese,""" Kuna rootslased armastavad igasuguseid klaasist esemeid ja kujukesi , saime MMi diplomi kõrval auhinnaks eripärase kujuga klaaskausi , "" ütleb Piller ."
klaas,874,6464.116,klaasist ese,"Tegelikult on Anne kitsam eriala klaas , st kõiksugu klaasist ja portselanist ajaloolised esemed ."
puit,777,5660.311,puidust elumaja,Puhkenud põlengus hävis puidust elumaja ühes selle külge ehitatud laudaga täielikult .
puit,777,5660.311,puidust elumaja,Kalevi tänavas sanatoorse kooli õuel puidust elumajas põles tuba .
puit,777,5660.311,puidust elumaja,Pärnus põles laupäeva õhtul maha kahekorruseline puidust elumaja ; inimesed tulekahjus kannatada ei saanud .
puit,777,5660.311,puidust hoone,"Suures puidust hoones oli puitsammastele toetuv saal , kus kunagi korraldati kontserte ja tantsuõhtuid või näidati kino ."
puit,777,5660.311,puidust hoone,"Valgamaa algaja ettevõtja sai fondilt 50 000 krooni toetust puidust hoonete valmistamiseks , Võrumaal 50 000 krooni männi- ja kuuseistikute kasvatamiseks ning 50 000 krooni metallmööbli valmistamiseks ."
puit,777,5660.311,puidust hoone,Enamik neist olid linnuvabriku poolt juba maha jäetud puidust hooned .
puit,777,5660.311,puidust osa,Talumäe külas Piiri talus süttis pikselöögist ja hävis 8x20-meetrise laastukatusega kõrvalhoone puidust osa .
puit,777,5660.311,puidust osa,"Pererahvas pani vaid puidust osale uue välisvoodri , majale uhiuue katuse ja tuttuued aknad ."
puit,777,5660.311,puidust osa,- v.a puitmööbel ja puidust osad
puit,777,5660.311,puidust laud,"Kuna massiivsete tahutud puidust laudade tegelikku vanust ei oska täpselt öelda ka indialastest müüjad , jäetakse lauad alt restaureerimata ."
puit,777,5660.311,puidust laud,"Natuke ütlemist tuli vastuvõtukomisjoniga ka puitplaadiga laua pärast : ei tohi olla , kuigi saia on sajandeid kergitatud ainult puidust laudadel ."
puit,777,5660.311,puidust laud,Perekond Kasel oli söögitoas väga kallihinnaline puidust laud .
puit,777,5660.311,puidust maja,"Ka puidust majad on haruldus , neis elavad vaid väga rikkad inimesed ."
puit,777,5660.311,puidust maja,"Siporexist valmistatud maja hingab samamoodi kui puidust maja , kinnitab Kerde ."
puit,777,5660.311,puidust maja,"Kivimajale võib panna laudvooderdise , rõhutades nii looduslähedust , või vastupidi : puidust maja saab katta kas loodus- või tehiskivist voodriga , katta see kivipurukattega , vineerplaatide või koguni metalliga ."
puu,823,5516.514,puust linn,Tartus Sebra galeriis on võimalik vaadata ka filmiga ühel ajal valminud fotonäitust “ Väike puust linn ” .
puu,823,5516.514,puust linn,Otsesteks tulemusteks on Riho Västriku dokumentaalfilm “ Supilinn naturalis ” ( oli ETV ekraanil 13. mail ) ja fotonäitus Tartus Sebra galeriis “ Väike puust linn ” .
puu,823,5516.514,puust linn,"No võtkem näiteks Tartus , selles väikeses puust linnas ."
puu,823,5516.514,puust rist,"Vanal külakalmistul avasid rootslased mälestusristi ruhnurootslastele , sest puust ristid hakkavad lagunema , selgitas Melin ."
puu,823,5516.514,puust rist,Surnuaia taga mäe otsas on suur valge puust rist kuulsa mehe mälestuseks .
