sentence_id,sentence,instance_form_long,instance_form,instance_lemma,comp1_id,comp1_form,comp1_feats,comp1_lemma,comp2_id,comp2_form,comp2_feats,comp2_lemma,manual_annotation,comment,gpt1,gemma1
10529383,"Eelmisel aastal käis poeg koos isaga Prantsusmaal ja oli muidugi reisist vaimustuses , selles eas poistel on üldse tähtis koos isaga midagi ette võtta .",ja oli muidugi reisist vaimustuses,reisist vaimustuses,reisist vaimustus,11,reisist,sg el,reis,12,vaimustuses,sg in,vaimustus,other,government,other,other
4486869,Näilise energeetilise iseseisvuse põlevkivist alusmüür on raiskamise tõttu muutunud inflatsioonitõkkeks eurole ülemineku teel .,näilise energeetilise iseseisvuse põlevkivist alusmüür,põlevkivist alusmüür,põlevkivist alusmüür,4,põlevkivist,sg el,põlevkivi,5,alusmüür,sg n,alusmüür,elative_material,,elative_material,elative_material
8652297,Pronksmehest jagu saamiseks pidi linttraktor ta trossiga kõigepealt külili tõmbama .,pronksmehest jagu,pronksmehest jagu,pronksmehest jagu,1,pronksmehest,sg el,pronksmees,2,jagu,sg n,jagu,error,verbal idiom,other,elative_attribute
10421841,Enamik piiblist tuttavaid kohti on Iisraeli kesk- ja põhjaosas .,enamik piiblist tuttavaid kohti,piiblist kohti,piiblist koht,2,piiblist,sg el,piibel,4,kohti,pl p,koht,error,syntax,other,other
7151606,Lükkasin selle naise selili – kuidagi ootamatult jõhkra jõuga vastu seda valusat kivinukist nõlvakut .,seda valusat kivinukist nõlvakut,kivinukist nõlvakut,kivinukist nõlvak,13,kivinukist,sg el,kivinukk,14,nõlvakut,sg p,nõlvak,error,adjective,other,other
12308067,Eesti keele ja kirjanduse liitmine ei võimalda õpilastel enam kirjandust lõpueksamiks valida ega esitada kirjandusalast uurimistööd .,kirjandusalast uurimistööd,kirjandusalast uurimistööd,kirjandusalast uurimistöö,15,kirjandusalast,sg el,kirjandusala,16,uurimistööd,sg p,uurimistöö,error,adjective,other,other
9238651,"Ütleksin vaid , et tegevuskunsti puhul annavad paar tundi ja mõned täpselt aktsentueeritud aktsioonid ajaliselt palju mõjusama tulemuse kui terve päeva või kogu nädala kestvad festivalid paljude eri klassist esinejatega .",paljude eri klassist esinejatega,klassist esinejatega,klassist esineja,29,klassist,sg el,klass,30,esinejatega,pl kom,esineja,other,collective,other,other
11460081,"Eelmise seaduse järgi tuli 5% tegelikult kinni pidada ka siis , kui oli tegemist füüsilisest isikust ettevõtjaga .",", kui oli tegemist füüsilisest isikust ettevõtjaga",isikust ettevõtjaga,isikust ettevõtja,16,isikust,sg el,isik,17,ettevõtjaga,sg kom,ettevõtja,elative_attribute,,elative_attribute,other
961287,Seda väitis neljapäeval parlamendidebatil opositsioonilise Demokraatliku Revolutsiooni ( PRD ) partei liikmest senaator Felix Salgado .,opositsioonilise demokraatliku revolutsiooni ( prd ) partei liikmest senaator felix salgado,liikmest senaator,liikmest senaator,12,liikmest,sg el,liige,13,senaator,sg n,senaator,elative_attribute,,elative_attribute,elative_attribute
12547462,Thessalonikes elav eestlasest õigeusu preester külastas just saatkonda - oli elus ja terve .,eestlasest õigeusu,eestlasest õigeusu,eestlasest õigeusk,3,eestlasest,sg el,eestlane,4,õigeusu,sg g,õigeusk,error,syntax,elative_attribute,elative_attribute
1223949,"Pärast veerandtunnist heitlust teenis Andres Oper penalti , mille löömisel Indrek Zelinski küll eksis , kuid vv Soso Grishikashvilist tagasi põrkunud palli põrutas 17. minutil võrku Raio Piiroja .",pärast veerandtunnist heitlust,veerandtunnist heitlust,veerandtunnist heitlus,2,veerandtunnist,sg el,veerandtund,3,heitlust,sg p,heitlus,error,adjective,other,other
7298644,"Säärane lähenemine saab tuge ka Peirce'i pansemiootilisest vaatest , mis ei eelda tingimata elusolendist interpreteerija osalust märgiprotsessi defineerimise alusena .",elusolendist interpreteerija,elusolendist interpreteerija,elusolendist interpreteerija,14,elusolendist,sg el,elusolend,15,interpreteerija,sg g,interpreteerija,elative_attribute,,other,other
14106944,Juriidilisest isikust liikme lõppemisel liikmesus lõpeb .,juriidilisest isikust liikme,isikust liikme,isikust liige,2,isikust,sg el,isik,3,liikme,sg g,liige,elative_attribute,,elative_attribute,other
10719978,"Seda raamatut ei ilmu , ” raiuvad eluaegsest poksijast poksitreener ja endisest kiirkäijast kirjamees kui ühest suust .",eluaegsest poksijast poksitreener ja endisest kiirkäijast kirjamees kui ühest suust,poksijast poksitreener,poksijast poksitreener,9,poksijast,sg el,poksija,10,poksitreener,sg n,poksitreener,elative_attribute,,elative_attribute,elative_attribute
9698489,"C-alagrupist edasipääsejad kohtuvad playoff-mängude avaringis ( 13. ja 20. jaanuaril ) D-grupi parematega : C esimene mängib D neljandaga , C teine D kolmandaga , C kolmas D teisega ning C neljas D esimesega .",c-alagrupist edasipääsejad,c-alagrupist edasipääsejad,c-alagrupist edasipääseja,1,c-alagrupist,sg el,C-alagrupp,2,edasipääsejad,pl n,edasipääseja,other,ja-ending,other,other
4584183,""" Nägin , et osa mehi väljub majast ülikonnas - küll on kiired poisid !",majast ülikonnas,majast ülikonnas,majast ülikond,8,majast,sg el,maja,9,ülikonnas,sg in,ülikond,error,syntax,other,other
14237721,"c ) 18. juuli ja 28. septembri 1983. aasta kirjavahetus selle kohta , et füüsilisest isikust ettevõtjate suhtes ei kohaldata kokkuleppeid määruse artikli 69 alusel makstava töötushüvitiste tagasimaksmisest loobumise kohta seoses Gibraltariga .",füüsilisest isikust ettevõtjate suhtes,isikust ettevõtjate,isikust ettevõtja,16,isikust,sg el,isik,17,ettevõtjate,pl g,ettevõtja,elative_attribute,,elative_attribute,other
9143004,"Tegemist oli vaid juudivastasusega , ja saksa soost psühhoanalüütikud võisid edasi tegutseda Göringi vennapoja juhtimisel .",saksa soost psühhoanalüütikud,soost psühhoanalüütikud,soost psühhoanalüütik,8,soost,sg el,sugu,9,psühhoanalüütikud,pl n,psühhoanalüütik,other,collective,other,other
5738118,"Just mägedelaagrist tulnuna sai ta korraliku aja liblik- ( 27,88 ) ja selilisprindis ( 30,36 ) , nõrgema aga põhialal kroolis ( 26,60 ) .",just mägedelaagrist tulnuna,mägedelaagrist tulnuna,mägedelaagrist tulnu,2,mägedelaagrist,sg el,mägedelaager,3,tulnuna,sg es,tulnu,other,u-ending,other,other
5535590,"Natsikurjategijaid paljastava ülemaailmse juutide organisatsiooni , Simon Wiesenthali Keskuse Iisraeli osakonna direktor Efraim Zuroff ( 53 ) saabus Tallinna , et peaminister Mart Laarile üle anda Venezuelas elava väliseestlasest miljonäri Harry Männili ( 81 ) toime pandud juutide mõrva tõestavad dokumendid .",venezuelas elava väliseestlasest miljonäri harry männili ( 81 ),väliseestlasest miljonäri,väliseestlasest miljonär,29,väliseestlasest,sg el,väliseestlane,30,miljonäri,sg g,miljonär,elative_attribute,,elative_attribute,elative_attribute
719701,"Osaliselt tunnistas ennast inimsmugeldamises süüdi Al-Shammari kaaskohtualune tuneeslasest Rootsi kodanik Abdelaziz Ben Ajmi Glaied ( 29 ) , kelle sõnul sattus ta inimsmugeldamisse juhuslikult oma eestlasest sõbra kinnisvaramaakler Jaanus Rannu ( 31 ) kaudu .",oma eestlasest sõbra,eestlasest sõbra,eestlasest sõber,26,eestlasest,sg el,eestlane,27,sõbra,sg g,sõber,elative_attribute,,elative_attribute,elative_attribute
