lemma,frequency,salience,phrase,sentence
isik,2978,21565.245,isikust ettevõtja,Füüsilisest isikust ettevõtja tuludeklaratsiooni vorm E erineb mõnevõrra eelmise aasta vastavast vormist .
isik,2978,21565.245,isikust ettevõtja,Füüsilisest isikust ettevõtja arvestusperiood on kalendriaasta .
isik,2978,21565.245,isikust ettevõtja,Eelnõu säilitab ka füüsilisest isikust ettevõtjate tulumaksustamise .
isik,2978,21565.245,isikust aktsionär,"Füüsilisest isikust aktsionäril palume esitada isikut tõendav dokument , esindajal ka volikiri ."
isik,2978,21565.245,isikust aktsionär,"Üldkoosolekul osalevate aktsionäride ja nende esindajate registreerimine algab samas kell 9.00 . registreerimiseks on aktsionäridel vajalik esitada pass ( esindajatel lisaks sellele võtta kaasa volikiri ) , juriidilisest isikust aktsionäril koopia kehtivast äriregistrikaardist ( esindajal lisaks sellele isikut tõendav dokument ja volikiri ) ."
isik,2978,21565.245,isikust aktsionär,Juriidilisest isikust aktsionäridel palume esitada registrikaardi
isik,2978,21565.245,isikust võlgnik,"( 4 ) Juriidilisest isikust võlgniku nimel võivad pankrotiavalduse esitada juhatuse või seda asendava organi liikmed ühiselt , täisühingu osanik , usaldusühingu täisosanik , muu seaduses nimetatud isik või organ , samuti likvideerijad ühiselt ."
isik,2978,21565.245,isikust võlgnik,"5 ) füüsilisest isikust võlgnik või juriidilisest isikust võlgniku seadusjärgne esindaja teatab võlausaldajale , kohtule või avalikkusele , et ta ei suuda või ei kavatse võlga tasuda või"
isik,2978,21565.245,isikust võlgnik,"5 ) füüsilisest isikust võlgnik või juriidilisest isikust võlgniku seadusjärgne esindaja teatab võlausaldajale , kohtule või avalikkusele , et ta ei suuda või ei kavatse võlga tasuda või"
isik,2978,21565.245,isikust omanik,"1 ) füüsilisest isikust omaniku puhul nimi ja isikukood ( selle puudumisel sünniaeg ) , juriidilisest isikust omaniku puhul nimi , asukoht , registrikood või registreerimistunnistuse number selle seadusega sätestatud kehtivusaja lõpuni ning avalik-õigusliku juriidilise isiku puhul nimi ;"
isik,2978,21565.245,isikust omanik,"1 ) füüsilisest isikust omaniku puhul nimi ja isikukood ( selle puudumisel sünniaeg ) , juriidilisest isikust omaniku puhul nimi , asukoht , registrikood või registreerimistunnistuse number selle seadusega sätestatud kehtivusaja lõpuni ning avalik-õigusliku juriidilise isiku puhul nimi ;"
isik,2978,21565.245,isikust omanik,( 2 ) Patendiomaniku surma või juriidilisest isikust omaniku lõppemise korral läheb patent üle pärijale või õigusjärglasele .
