member_1,member_2,phrase_case,frequency
plika_tartust,afk,n,2189
isikust,ettevõtja,n,895
isikust,ettevõtja,g,673
isikust,ettevõtja,es,424
ametist,vabastamine,g,361
seinast,sein,p,359
ametist,lahkumine,p,291
ametist,vabastamine,n,215
treenerist,isa,n,207
ametist,vabastamine,p,204
isikust,ettevõtja,all,195
ametist,lahkumine,g,190
elukohast,mittelahkumine,g,150
päevast,päev,p,141
andmisest,keeldumine,g,140
isikust,ettevõtja,p,128
reedest,pühapäev,ter,124
ajast,aeg,p,113
ametist,vabastamine,tr,112
esmaspäevast,reede,ter,110
isikust,ettevõtja,ad,109
demokraadist,senaator,n,102
rahvusest,inimene,p,101
vabariiklasest,senaator,n,100
keskerakondlasest,abilinnapea,n,99
rahvusest,inimene,n,96
vanglast,vabanemine,p,90
isikust,ettevõtja,tr,89
hollandlasest,peatreener,n,88
olukorrast,riik,in,87
ameeriklasest,tagamees,n,87
tootmisest,kõrvaldamine,g,87
eraldistardist,sõit,in,85
tulumaksust,vabastamine,g,80
kolmapäevast,pühapäev,ter,78
andmisest,keeldumine,n,76
papist,poiss,n,75
reformierakondlasest,abilinnapea,n,74
teenistusest,vabastamine,n,68
keskerakondlasest,liige,n,65
pealaest,jalatald,ter,65
ametist,tagandamine,g,63
reklaamist,loobumine,g,62
elukohast,lahkumine,g,62
menetlusest,väljaarvamine,g,62
laost,väljaviimine,g,61
asukohast,ühendus,in,60
tulumaksust,vabastamine,n,58
maist,september,ter,58
kevadest,sügis,ter,58
reformierakondlasest,esimees,n,57
rahvusest,mees,n,57
riigist,lahkumine,tr,57
otsast,lõpp,ter,56
suitsetamisest,loobumine,n,56
sotsialistist,peaminister,n,56
ametist,lahkumine,n,55
seinast,sein,g,55
esmaspäevast,kolmapäev,ter,52
reformierakondlasest,linnapea,n,52
algusest,lõpp,ter,52
soomlasest,peatreener,n,52
teenistusest,vabastamine,g,50
ametist,vabastamine,ad,49
ametist,lahkumine,ad,49
suitsetamisest,loobuja,n,49
eraldistardist,sõit,g,48
meessoost,isik,n,47
registrist,kustutamine,g,47
keskerakondlasest,esimees,n,45
ameeriklasest,keskmängija,n,44
esmaspäevast,neljapäev,ter,44
isamaaliitlasest,linnapea,n,43
otsast,ots,ter,43
piirist,piir,ter,42
residendist,isik,n,42
isikust,ettevõtja,kom,41
kolmapäevast,reede,ter,41
põlvest,põli,p,41
naissoost,isik,n,41
inglasest,kaardilugeja,n,40
sotsiaaldemokraadist,peaminister,n,40
maast,lagi,ter,40
suitsetamisest,loobumine,g,40
ametist,vabastamine,kom,39
keelust,üleastuja,p,39
aastast,professor,n,39
isamaaliitlasest,liige,n,38
aastast,liige,n,38
reformierakondlasest,liige,n,38
rahvusest,kodanik,n,38
neljapäevast,pühapäev,ter,38
ühisstardist,sõit,in,38
konverentsist,osavõtja,n,37
lihast,inimene,n,37
servast,serv,ter,37
ametist,tagandamine,n,36
rootslasest,peatreener,n,36
tagatisest,vabastamine,g,36
ameeriklasest,mängujuht,n,35
tulumaksust,vabastamine,p,35
neljapäevast,laupäev,ter,35
jordaanlasest,terrorist,g,35
riigist,lahkumine,g,34
rahvusest,isik,n,34
rahvusest,mees,p,33
andmisest,keeldumine,p,33
senast,ändra,n,33
isamaaliitlasest,siseminister,n,32
ametist,lahkumine,el,32
kodanlasest,aadlimees,n,32
hollandlasest,treener,n,32
tasumisest,vabastamine,n,32
demokraadist,president,n,31
leedulasest,olümpiavõitja,n,31
keskerakondlasest,linnapea,n,31
riigikogust,lahkumine,p,31
juulist,august,ter,31
teisipäevast,reede,ter,31
ametist,tagandamine,p,30
ametist,lahkumine,tr,30
ametist,lahkumine,kom,30
vanglast,vabastamine,p,30
registrist,kustutamine,n,30
teisipäevast,neljapäev,ter,30
hommikust,rahvas,n,30
näost,nägu,adt,29
ametist,kõrvaldamine,g,29
tippspordist,loobumine,p,29
leedulasest,keskmängija,n,29
juunist,juuli,ter,29
teenistusest,lahkumine,p,29
soost,inimene,g,29
andmisest,keeldumine,tr,29
vanglast,vabanemine,g,28
juulist,september,ter,28
vabariiklasest,kuberner,n,28
idast,lääs,adt,28
aastast,õppejõud,n,28
maist,juuni,ter,28
laost,väljavõtmine,g,28
kolmapäevast,istung,p,28
vokaalist,bark,p,28
riigist,lahkumine,p,27
isikust,ettevõtja,abl,27
kriisist,väljumine,tr,27
